GameID,Team,Date,HT,AT,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,DRtg
20100113MIAGSW,MIA,13-01-10,GSW,MIA,42,75,0.56,8,16,0.5,23,26,0.884615385,11,31,42,26,7,1,17,24,115,0.665,0.613,0.213,0.347,39.3,72.1,59.2,61.9,7.9,1.9,16.4,130.5,115.8
20100113MIAGSW,GSW,13-01-10,GSW,MIA,33,77,0.428571429,11,24,0.458333333,25,32,0.78125,12,17,29,20,7,3,11,20,102,0.56,0.5,0.312,0.416,27.9,60.7,40.8,60.6,7.9,5.1,10.8,115.8,130.5
20100113MINHOU,MIN,13-01-10,HOU,MIN,43,111,0.387387387,7,19,0.368421053,21,26,0.807692308,19,46,65,17,7,5,21,26,114,0.466,0.419,0.171,0.234,31.7,73,52.8,39.5,5.9,6.1,14.6,96.1,101.1
20100113MINHOU,HOU,13-01-10,HOU,MIN,45,106,0.424528302,8,24,0.333333333,22,34,0.647058824,17,41,58,27,11,7,16,20,120,0.496,0.462,0.226,0.321,27,68.3,47.2,60,9.3,7.6,11.7,101.1,96.1
20100113PHOIND,PHO,13-01-10,IND,PHO,41,96,0.427083333,7,17,0.411764706,25,31,0.806451613,11,33,44,20,5,5,6,32,114,0.52,0.464,0.177,0.323,20.4,75,44.9,48.8,4.9,8.8,5.2,111.7,119.5
20100113PHOIND,IND,13-01-10,IND,PHO,37,86,0.430232558,12,29,0.413793103,36,42,0.857142857,11,43,54,23,3,13,12,24,122,0.584,0.5,0.337,0.488,25,79.6,55.1,62.2,2.9,16.5,10.3,119.5,111.7
20100113BOSNJN,BOS,13-01-10,NJN,BOS,43,81,0.530864198,6,17,0.352941176,19,30,0.633333333,14,33,47,30,9,5,14,30,111,0.589,0.568,0.21,0.37,34.1,78.6,56.6,69.8,9.8,8.3,12.9,120.4,94.3
20100113BOSNJN,NJN,13-01-10,NJN,BOS,26,69,0.376811594,2,9,0.222222222,33,43,0.76744186,9,27,36,13,4,5,15,26,87,0.495,0.391,0.13,0.623,21.4,65.9,43.4,50,4.3,7.8,14.6,94.3,120.4
20100113LACNOH,LAC,13-01-10,NOH,LAC,35,86,0.406976744,1,14,0.071428571,23,32,0.71875,17,29,46,16,2,1,10,14,94,0.47,0.413,0.163,0.372,37,76.3,54.8,45.7,2.3,1.7,9.1,106.9,122.9
20100113LACNOH,NOH,13-01-10,NOH,LAC,45,87,0.517241379,9,27,0.333333333,9,12,0.75,9,29,38,26,7,1,6,22,108,0.585,0.569,0.31,0.138,23.7,63,45.2,57.8,8,1.4,6.1,122.9,106.9
20100113SASOKC,SAS,13-01-10,OKC,SAS,43,95,0.452631579,7,22,0.318181818,16,24,0.666666667,18,32,50,21,9,4,13,23,109,0.516,0.489,0.232,0.253,36,71.1,52.6,48.8,9.1,4.8,11,109.8,108.8
20100113SASOKC,OKC,13-01-10,OKC,SAS,41,89,0.460674157,2,5,0.4,24,27,0.888888889,13,32,45,23,3,5,16,24,108,0.535,0.472,0.056,0.303,28.9,64,47.4,56.1,3,6.8,13.7,108.8,109.8
20100113NYKPHI,NYK,13-01-10,PHI,NYK,36,80,0.45,5,19,0.263157895,16,23,0.695652174,10,27,37,25,7,5,9,12,93,0.516,0.481,0.238,0.288,21.7,60,40.7,69.4,8.1,7.4,9.1,107.9,106.7
20100113NYKPHI,PHI,13-01-10,PHI,NYK,37,86,0.430232558,6,18,0.333333333,12,16,0.75,18,36,54,23,5,3,13,20,92,0.494,0.465,0.209,0.186,40,78.3,59.3,62.2,5.8,4.9,12.3,106.7,107.9
20100113MILPOR,MIL,13-01-10,POR,MIL,39,86,0.453488372,12,29,0.413793103,18,25,0.72,13,23,36,23,4,2,13,26,108,0.557,0.523,0.337,0.291,33.3,82.1,53.7,59,4.4,3.7,11.8,118,131.1
20100113MILPOR,POR,13-01-10,POR,MIL,44,73,0.602739726,8,19,0.421052632,24,31,0.774193548,5,26,31,25,5,8,11,23,120,0.693,0.658,0.26,0.425,17.9,66.7,46.3,56.8,5.5,14,11.3,131.1,118
20100114CHIBOS,CHI,14-01-10,BOS,CHI,38,84,0.452380952,2,6,0.333333333,18,25,0.72,15,35,50,20,9,10,12,20,96,0.505,0.464,0.071,0.298,33.3,79.5,56.2,52.6,10.1,18.5,11.2,107.7,93.1
20100114CHIBOS,BOS,14-01-10,BOS,CHI,32,71,0.450704225,4,17,0.235294118,15,28,0.535714286,9,30,39,17,6,5,15,21,83,0.498,0.479,0.239,0.394,20.5,66.7,43.8,53.1,6.7,6.4,15.3,93.1,107.7
20100114CLEUTA,CLE,14-01-10,UTA,CLE,31,68,0.455882353,9,19,0.473684211,25,35,0.714285714,7,32,39,16,9,6,21,28,96,0.576,0.522,0.279,0.515,20,76.2,50.6,51.6,9.4,10,20.1,100.4,101.4
20100114CLEUTA,UTA,14-01-10,UTA,CLE,32,79,0.405063291,6,19,0.315789474,27,38,0.710526316,10,28,38,25,13,4,14,31,97,0.507,0.443,0.241,0.481,23.8,80,49.4,78.1,13.6,8.2,12.8,101.4,100.4
20100115PHOATL,PHO,15-01-10,ATL,PHO,38,86,0.441860465,2,13,0.153846154,23,32,0.71875,14,27,41,26,6,8,8,20,101,0.505,0.453,0.151,0.372,31.8,57.4,45.1,68.4,6.6,11.9,7.4,111.9,113
20100115PHOATL,ATL,15-01-10,ATL,PHO,37,90,0.411111111,5,23,0.217391304,23,28,0.821428571,20,30,50,25,2,7,13,25,102,0.498,0.439,0.256,0.311,42.6,68.2,54.9,67.6,2.2,9.6,11.3,113,111.9
20100115SASCHA,SAS,15-01-10,CHA,SAS,31,80,0.3875,5,25,0.2,9,13,0.692307692,10,31,41,18,4,3,14,18,76,0.443,0.419,0.313,0.163,22.7,75.6,48.2,58.1,4.7,4.8,14,88.9,107.6
20100115SASCHA,CHA,15-01-10,CHA,SAS,35,76,0.460526316,6,14,0.428571429,16,21,0.761904762,10,34,44,24,11,10,10,16,92,0.54,0.5,0.184,0.276,24.4,77.3,51.8,68.6,12.9,18.2,10.5,107.6,88.9
20100115WASCHI,WAS,15-01-10,CHI,WAS,46,102,0.450980392,7,22,0.318181818,20,30,0.666666667,15,39,54,23,4,5,6,24,119,0.516,0.485,0.216,0.294,28.3,75,51.4,50,3.8,5.7,5,113.9,115.9
20100115WASCHI,CHI,15-01-10,CHI,WAS,44,97,0.453608247,4,10,0.4,29,35,0.828571429,13,38,51,21,3,5,9,27,121,0.538,0.474,0.103,0.361,25,71.7,48.6,47.7,2.9,6.3,7.4,115.9,113.9
20100115OKCDAL,OKC,15-01-10,DAL,OKC,34,81,0.419753086,6,17,0.352941176,24,29,0.827586207,11,34,45,13,8,4,18,27,98,0.523,0.457,0.21,0.358,28.2,85,57,38.2,8.4,7.1,16.1,103.3,104.3
20100115OKCDAL,DAL,15-01-10,DAL,OKC,31,70,0.442857143,4,14,0.285714286,33,39,0.846153846,6,28,34,19,11,7,14,26,99,0.568,0.471,0.2,0.557,15,71.8,43,61.3,11.6,10.9,13.8,104.3,103.3
20100115NOHDET,NOH,15-01-10,DET,NOH,38,79,0.481012658,7,22,0.318181818,21,25,0.84,2,32,34,25,9,3,13,31,104,0.578,0.525,0.278,0.316,5.3,76.2,42.5,65.8,9,4.8,12.6,104.3,110.3
